Name: admin, Type: client, Affiliation: , Max Enrollments: -1, Attributes: [{Name:hf.Registrar.DelegateRoles Value:* ECert:false} {Name:hf.Revoker Value:1 ECert:false} {Name:hf.IntermediateCA Value:1 ECert:false} {Name:hf.GenCRL Value:1 ECert:false} {Name:hf.Registrar.Attributes Value:* ECert:false} {Name:hf.AffiliationMgr Value:1 ECert:false} {Name:hf.Registrar.Roles Value:* ECert:false}]
Name: peer0, Type: peer, Affiliation: , Max Enrollments: -1, Attributes: [{Name:hf.EnrollmentID Value:peer0 ECert:true} {Name:hf.Type Value:peer ECert:true} {Name:hf.Affiliation Value: ECert:true}]
Name: user1, Type: client, Affiliation: , Max Enrollments: -1, Attributes: [{Name:hf.EnrollmentID Value:user1 ECert:true} {Name:hf.Type Value:client ECert:true} {Name:hf.Affiliation Value: ECert:true}]
Name: org1admin, Type: admin, Affiliation: , Max Enrollments: -1, Attributes: [{Name:hf.EnrollmentID Value:org1admin ECert:true} {Name:hf.Type Value:admin ECert:true} {Name:hf.Affiliation Value: ECert:true}]
Name: registrador, Type: client, Affiliation: org1.department1, Max Enrollments: -1, Attributes: [{Name:role Value:registrador ECert:true} {Name:hf.EnrollmentID Value:registrador ECert:true} {Name:hf.Type Value:client ECert:true} {Name:hf.Affiliation Value:org1.department1 ECert:true}]
Name: revisor, Type: client, Affiliation: org1.department1, Max Enrollments: -1, Attributes: [{Name:role Value:revisor ECert:true} {Name:hf.EnrollmentID Value:revisor ECert:true} {Name:hf.Type Value:client ECert:true} {Name:hf.Affiliation Value:org1.department1 ECert:true}]
Name: legal, Type: client, Affiliation: org1.department1, Max Enrollments: -1, Attributes: [{Name:role Value:legal ECert:true} {Name:hf.EnrollmentID Value:legal ECert:true} {Name:hf.Type Value:client ECert:true} {Name:hf.Affiliation Value:org1.department1 ECert:true}]
Name: publicador, Type: client, Affiliation: org1.department1, Max Enrollments: -1, Attributes: [{Name:role Value:publicador ECert:true} {Name:hf.EnrollmentID Value:publicador ECert:true} {Name:hf.Type Value:client ECert:true} {Name:hf.Affiliation Value:org1.department1 ECert:true}]
Name: auditor, Type: client, Affiliation: org1.department1, Max Enrollments: -1, Attributes: [{Name:role Value:auditor ECert:true} {Name:hf.EnrollmentID Value:auditor ECert:true} {Name:hf.Type Value:client ECert:true} {Name:hf.Affiliation Value:org1.department1 ECert:true}]
